Entity,Date,reported_disasters
Extreme weather,1941,2
Extreme weather,1942,3
Extreme weather,1943,3
Extreme weather,1944,5
Extreme weather,1945,7
Extreme weather,1946,5
Extreme weather,1947,7
Extreme weather,1948,10
Extreme weather,1949,8
Extreme weather,1950,7
Extreme weather,1951,13
Extreme weather,1952,10
Extreme weather,1953,14
Extreme weather,1954,10
Extreme weather,1955,20
Extreme weather,1956,14
Extreme weather,1957,9
Extreme weather,1958,15
Extreme weather,1959,16
Extreme weather,1960,20
Extreme weather,1961,15
Extreme weather,1962,14
Extreme weather,1963,23
Extreme weather,1964,22
Extreme weather,1965,20
Extreme weather,1966,30
Extreme weather,1967,25
Extreme weather,1968,27
Extreme weather,1969,25
Extreme weather,1970,24
Extreme weather,1971,23
Extreme weather,1972,28
Extreme weather,1973,25
Extreme weather,1974,28
Extreme weather,1975,31
Extreme weather,1976,36
Extreme weather,1977,33
Extreme weather,1978,43
Extreme weather,1979,35
Extreme weather,1980,45
Extreme weather,1981,52
Extreme weather,1982,55
Extreme weather,1983,61
Extreme weather,1984,58
Extreme weather,1985,59
Extreme weather,1986,58
Extreme weather,1987,64
Extreme weather,1988,66
Extreme weather,1989,78
Extreme weather,1990,150
Extreme weather,1991,74
Extreme weather,1992,83
Extreme weather,1993,112
Extreme weather,1994,90
Extreme weather,1995,94
Extreme weather,1996,82
Extreme weather,1997,92
Extreme weather,1998,100
Extreme weather,1999,114
Extreme weather,2000,133
Extreme weather,2001,128
Extreme weather,2002,137
Extreme weather,2003,111
Extreme weather,2004,140
Extreme weather,2005,160
Extreme weather,2006,100
Extreme weather,2007,130
Extreme weather,2008,121
Extreme weather,2009,112
Extreme weather,2010,123
Extreme weather,2011,100
Extreme weather,2012,141
Extreme weather,2013,119
Extreme weather,2014,116
Extreme weather,2015,130
Extreme weather,2016,96
Extreme weather,2017,96
Extreme weather,2018,109
Flood,1900,1
Flood,1903,2
Flood,1906,2
Flood,1909,1
Flood,1910,1
Flood,1911,1
Flood,1915,1
Flood,1917,1
Flood,1920,1
Flood,1925,1
Flood,1926,4
Flood,1927,2
Flood,1928,2
Flood,1930,1
Flood,1931,1
Flood,1933,2
Flood,1935,1
Flood,1936,1
Flood,1937,2
Flood,1938,2
Flood,1939,2
Flood,1940,1
Flood,1943,2
Flood,1947,1
Flood,1948,5
Flood,1949,2
Flood,1950,10
Flood,1951,7
Flood,1952,4
Flood,1953,12
Flood,1954,9
Flood,1955,3
Flood,1956,9
Flood,1957,11
Flood,1958,3
Flood,1959,13
Flood,1960,7
Flood,1961,8
Flood,1962,8
Flood,1963,8
Flood,1964,22
Flood,1965,19
Flood,1966,23
Flood,1967,26
Flood,1968,20
Flood,1969,14
Flood,1970,31
Flood,1971,15
Flood,1972,15
Flood,1973,20
Flood,1974,19
Flood,1975,17
Flood,1976,17
Flood,1977,48
Flood,1978,47
Flood,1979,34
Flood,1980,39
Flood,1981,43
Flood,1982,48
Flood,1983,49
Flood,1984,47
Flood,1985,58
Flood,1986,50
Flood,1987,68
Flood,1988,76
Flood,1989,46
Flood,1990,60
Flood,1991,77
Flood,1992,59
Flood,1993,84
Flood,1994,88
Flood,1995,94
Flood,1996,92
Flood,1997,95
Flood,1998,94
Flood,1999,122
Flood,2000,157
Flood,2001,157
Flood,2002,172
Flood,2003,158
Flood,2004,128
Flood,2005,193
Flood,2006,226
Flood,2007,218
Flood,2008,165
Flood,2009,151
Flood,2010,184
Flood,2011,156
Flood,2012,136
Flood,2013,149
Flood,2014,135
Flood,2015,160
Flood,2016,161
Flood,2017,114
Flood,2018,109
Volcanic activity,1900,1
Volcanic activity,1902,5
Volcanic activity,1903,1
Volcanic activity,1906,1
Volcanic activity,1909,1
Volcanic activity,1911,1
Volcanic activity,1914,1
Volcanic activity,1919,1
Volcanic activity,1926,1
Volcanic activity,1929,1
Volcanic activity,1930,1
Volcanic activity,1931,1
Volcanic activity,1937,1
Volcanic activity,1943,1
Volcanic activity,1944,1
Volcanic activity,1945,1
Volcanic activity,1946,1
Volcanic activity,1948,1
Volcanic activity,1949,2
Volcanic activity,1950,1
Volcanic activity,1951,3
Volcanic activity,1952,1
Volcanic activity,1953,1
Volcanic activity,1954,1
Volcanic activity,1956,1
Volcanic activity,1957,1
Volcanic activity,1960,1
Volcanic activity,1963,3
Volcanic activity,1964,1
Volcanic activity,1965,1
Volcanic activity,1966,2
Volcanic activity,1968,2
Volcanic activity,1969,2
Volcanic activity,1971,3
Volcanic activity,1973,1
Volcanic activity,1975,3
Volcanic activity,1976,5
Volcanic activity,1977,5
Volcanic activity,1978,2
Volcanic activity,1979,4
Volcanic activity,1980,2
Volcanic activity,1981,1
Volcanic activity,1982,3
Volcanic activity,1983,7
Volcanic activity,1984,7
Volcanic activity,1985,2
Volcanic activity,1986,2
Volcanic activity,1987,2
Volcanic activity,1988,5
Volcanic activity,1989,1
Volcanic activity,1990,2
Volcanic activity,1991,10
Volcanic activity,1992,5
Volcanic activity,1993,6
Volcanic activity,1994,6
Volcanic activity,1995,5
Volcanic activity,1996,5
Volcanic activity,1997,4
Volcanic activity,1998,4
Volcanic activity,1999,5
Volcanic activity,2000,5
Volcanic activity,2001,6
Volcanic activity,2002,7
Volcanic activity,2003,2
Volcanic activity,2004,5
Volcanic activity,2005,8
Volcanic activity,2006,12
Volcanic activity,2007,6
Volcanic activity,2008,7
Volcanic activity,2009,2
Volcanic activity,2010,6
Volcanic activity,2011,6
Volcanic activity,2012,1
Volcanic activity,2013,3
Volcanic activity,2014,6
Volcanic activity,2015,6
Volcanic activity,2017,2
Volcanic activity,2018,7
Drought & Wildfire,1900,2
Drought & Wildfire,1903,1
Drought & Wildfire,1906,1
Drought & Wildfire,1910,9
Drought & Wildfire,1911,1
Drought & Wildfire,1918,1
Drought & Wildfire,1919,1
Drought & Wildfire,1920,2
Drought & Wildfire,1921,1
Drought & Wildfire,1922,1
Drought & Wildfire,1928,1
Drought & Wildfire,1929,1
Drought & Wildfire,1931,1
Drought & Wildfire,1933,1
Drought & Wildfire,1939,1
Drought & Wildfire,1940,9
Drought & Wildfire,1942,1
Drought & Wildfire,1943,1
Drought & Wildfire,1944,2
Drought & Wildfire,1946,1
Drought & Wildfire,1947,2
Drought & Wildfire,1949,1
Drought & Wildfire,1960,1
Drought & Wildfire,1961,1
Drought & Wildfire,1963,1
Drought & Wildfire,1964,7
Drought & Wildfire,1965,8
Drought & Wildfire,1966,10
Drought & Wildfire,1967,7
Drought & Wildfire,1968,10
Drought & Wildfire,1969,12
Drought & Wildfire,1970,5
Drought & Wildfire,1971,9
Drought & Wildfire,1972,10
Drought & Wildfire,1973,5
Drought & Wildfire,1974,7
Drought & Wildfire,1975,3
Drought & Wildfire,1976,7
Drought & Wildfire,1977,18
Drought & Wildfire,1978,12
Drought & Wildfire,1979,15
Drought & Wildfire,1980,18
Drought & Wildfire,1981,17
Drought & Wildfire,1982,16
Drought & Wildfire,1983,44
Drought & Wildfire,1984,15
Drought & Wildfire,1985,16
Drought & Wildfire,1986,10
Drought & Wildfire,1987,23
Drought & Wildfire,1988,17
Drought & Wildfire,1989,10
Drought & Wildfire,1990,16
Drought & Wildfire,1991,26
Drought & Wildfire,1992,20
Drought & Wildfire,1993,11
Drought & Wildfire,1994,26
Drought & Wildfire,1995,13
Drought & Wildfire,1996,11
Drought & Wildfire,1997,34
Drought & Wildfire,1998,38
Drought & Wildfire,1999,45
Drought & Wildfire,2000,57
Drought & Wildfire,2001,36
Drought & Wildfire,2002,47
Drought & Wildfire,2003,28
Drought & Wildfire,2004,19
Drought & Wildfire,2005,33
Drought & Wildfire,2006,18
Drought & Wildfire,2007,29
Drought & Wildfire,2008,21
Drought & Wildfire,2009,27
Drought & Wildfire,2010,24
Drought & Wildfire,2011,25
Drought & Wildfire,2012,27
Drought & Wildfire,2013,19
Drought & Wildfire,2014,22
Drought & Wildfire,2015,40
Drought & Wildfire,2016,25
Drought & Wildfire,2017,20
Drought & Wildfire,2018,23
